ID_Ticket,Fecha,Dia_Semana,Hora_Dia,Monto_Total,Cantidad_Items,Para_Llevar,Tiempo_Permanencia_Min,Metodo_Pago
T0121,2026-06-08,1,16,12.0,1,0,8.0,Yape
T0122,2026-06-08,1,17,14.6,2,1,8.0,Yape
T0123,2026-06-08,1,21,84.7,5,0,55.0,Efectivo
T0124,2026-06-09,2,8,15.9,2,1,3.0,Yape
T0125,2026-06-09,2,9,20.8,2,0,17.0,Efectivo
T0126,2026-06-09,2,10,8.0,3,0,29.0,Efectivo
T0127,2026-06-09,2,10,20.7,2,1,5.0,Efectivo
T0128,2026-06-09,2,10,15.5,2,1,6.0,Plin
T0129,2026-06-09,2,10,19.7,3,1,3.0,Yape
T0130,2026-06-09,2,12,36.2,4,0,39.0,Yape
T0131,2026-06-09,2,13,38.1,3,0,,Efectivo
T0132,2026-06-09,2,13,32.0,2,0,55.0,Efectivo
T0133,2026-06-09,2,13,30.3,2,0,26.0,Yape
T0134,2026-06-09,2,14,30.6,4,0,46.0,Plin
T0135,2026-06-09,2,14,34.1,3,0,28.0,Efectivo
T0136,2026-06-09,2,14,45.7,4,1,6.0,Tarjeta
T0137,2026-06-09,2,16,8.1,1,1,4.0,Efectivo
T0138,2026-06-09,2,16,7.1,1,0,19.0,Efectivo
T0139,2026-06-09,2,16,5.9,2,0,18.0,Tarjeta
T0140,2026-06-09,2,16,9.0,2,0,35.0,Efectivo
T0141,2026-06-09,2,17,11.5,1,0,27.0,Plin
T0142,2026-06-09,2,17,13.3,2,1,2.0,Efectivo
T0143,2026-06-09,2,17,12.4,2,0,34.0,Yape
T0144,2026-06-09,2,17,7.7,2,0,30.0,Tarjeta
T0145,2026-06-09,2,22,95.6,8,0,,Efectivo
T0146,2026-06-10,3,8,22.2,2,0,20.0,Efectivo
T0147,2026-06-10,3,8,14.1,2,0,24.0,Efectivo
T0148,2026-06-10,3,9,16.1,2,1,4.0,Efectivo
T0149,2026-06-10,3,10,12.0,1,0,9.0,Yape
T0150,2026-06-10,3,10,14.7,2,0,13.0,Yape
T0151,2026-06-10,3,11,14.6,1,0,37.0,Yape
T0152,2026-06-10,3,13,21.7,4,1,4.0,Tarjeta
T0153,2026-06-10,3,14,35.4,4,0,40.0,Plin
T0154,2026-06-10,3,15,13.3,2,0,11.0,Tarjeta
T0155,2026-06-10,3,15,6.2,2,1,3.0,Yape
T0156,2026-06-10,3,16,10.8,2,0,37.0,Efectivo
T0157,2026-06-10,3,19,7.5,2,1,3.0,Efectivo
T0158,2026-06-10,3,21,77.8,9,1,8.0,Efectivo
T0159,2026-06-10,3,22,73.6,6,0,85.0,Yape
T0160,2026-06-11,4,7,14.8,3,0,33.0,Tarjeta
T0161,2026-06-11,4,7,18.9,2,0,16.0,Efectivo
T0162,2026-06-11,4,8,17.1,2,0,24.0,Efectivo
T0163,2026-06-11,4,8,16.8,3,0,22.0,Plin
T0164,2026-06-11,4,8,20.7,1,1,3.0,Yape
T0165,2026-06-11,4,9,12.7,2,0,30.0,Efectivo
T0166,2026-06-11,4,9,10.8,3,1,3.0,Yape
T0167,2026-06-11,4,10,16.9,3,0,18.0,Efectivo
T0168,2026-06-11,4,10,8.0,2,0,27.0,Plin
T0169,2026-06-11,4,10,11.5,3,0,19.0,Efectivo
T0170,2026-06-11,4,12,25.3,4,0,34.0,Efectivo
T0171,2026-06-11,4,13,37.2,2,0,33.0,Plin
T0172,2026-06-11,4,13,37.3,2,1,5.0,Tarjeta
T0173,2026-06-11,4,14,38.8,3,0,37.0,Yape
T0174,2026-06-11,4,14,32.3,3,0,22.0,Efectivo
T0175,2026-06-11,4,16,12.3,1,0,18.0,Efectivo
T0176,2026-06-11,4,17,5.0,1,0,64.0,Efectivo
T0177,2026-06-11,4,17,15.1,1,0,34.0,Efectivo
T0178,2026-06-11,4,18,9.6,2,0,,Efectivo
T0179,2026-06-11,4,19,84.2,7,0,79.0,Tarjeta
T0180,2026-06-12,5,9,20.1,3,0,22.0,Yape
T0181,2026-06-12,5,9,14.3,1,0,26.0,Tarjeta
T0182,2026-06-12,5,11,25.0,9,1,7.0,Efectivo
T0183,2026-06-12,5,12,34.7,3,0,26.0,Yape
T0184,2026-06-12,5,13,35.4,2,0,23.0,Efectivo
T0185,2026-06-12,5,13,47.2,3,1,5.0,Efectivo
T0186,2026-06-12,5,13,5.0,1,0,27.0,Efectivo
T0186,2026-06-12,5,13,5.0,1,0,27.0,Efectivo
T0187,2026-06-12,5,14,40.8,4,0,32.0,Tarjeta
T0188,2026-06-12,5,15,11.4,1,0,31.0,Efectivo
T0189,2026-06-12,5,15,14.6,2,0,38.0,Yape
T0190,2026-06-12,5,16,5.7,1,0,35.0,Yape
T0191,2026-06-12,5,16,10.5,1,0,45.0,Efectivo
T0192,2026-06-12,5,18,10.7,2,0,41.0,Efectivo
T0193,2026-06-12,5,19,69.9,8,0,84.0,Plin
T0194,2026-06-12,5,19,105.9,7,0,47.0,Tarjeta
T0195,2026-06-12,5,20,101.0,4,0,59.0,Tarjeta
T0196,2026-06-12,5,20,73.0,8,0,89.0,Plin
T0197,2026-06-12,5,21,66.7,8,0,39.0,Efectivo
T0198,2026-06-12,5,21,120.6,6,0,46.0,Efectivo
T0199,2026-06-12,5,21,55.7,9,0,59.0,Plin
T0200,2026-06-13,6,13,30.7,3,0,,Efectivo
T0201,2026-06-13,6,18,10.5,2,0,32.0,Efectivo
T0202,2026-06-13,6,18,13.3,1,0,40.0,Tarjeta
T0203,2026-06-13,6,18,11.5,1,0,20.0,Tarjeta
T0204,2026-06-13,6,18,8.4,1,0,36.0,Efectivo
T0205,2026-06-13,6,18,10.5,1,0,30.0,Tarjeta
T0206,2026-06-13,6,20,74.7,7,0,75.0,Efectivo
T0207,2026-06-13,6,20,50.0,4,0,83.0,Tarjeta
T0208,2026-06-13,6,20,80.8,9,0,81.0,Yape
T0209,2026-06-13,6,21,89.6,7,1,5.0,Efectivo
T0210,2026-06-13,6,21,65.9,9,0,38.0,Efectivo
T0211,2026-06-13,6,22,50.0,8,0,67.0,Efectivo
T0212,2026-06-13,6,22,99.2,4,0,59.0,Tarjeta
T0213,2026-06-14,7,8,14.4,1,0,22.0,Efectivo
T0214,2026-06-14,7,15,12.2,1,1,4.0,Yape
T0215,2026-06-14,7,15,10.7,2,0,41.0,Efectivo
T0216,2026-06-14,7,16,11.1,1,1,5.0,Yape
T0217,2026-06-14,7,17,11.6,2,0,39.0,Efectivo
T0218,2026-06-14,7,18,15.3,2,0,12.0,Plin
T0219,2026-06-14,7,18,14.2,2,0,20.0,Efectivo
T0220,2026-06-14,7,19,68.3,7,0,86.0,Tarjeta
T0221,2026-06-14,7,20,80.9,6,0,54.0,Efectivo
T0222,2026-06-14,7,20,89.7,6,0,85.0,Yape
T0223,2026-06-14,7,20,50.0,7,0,56.0,Efectivo
T0224,2026-06-14,7,21,64.0,7,0,78.0,Plin
T0225,2026-06-14,7,21,89.2,5,0,44.0,Efectivo
T0226,2026-06-15,1,7,20.9,2,1,5.0,Yape
T0227,2026-06-15,1,7,13.2,2,0,25.0,Tarjeta
T0228,2026-06-15,1,7,20.0,3,0,28.0,
T0229,2026-06-15,1,8,20.0,1,0,20.0,Tarjeta
T0230,2026-06-15,1,8,19.5,1,1,5.0,Yape
T0231,2026-06-15,1,10,11.4,1,0,20.0,
T0232,2026-06-15,1,12,33.1,3,0,48.0,Yape
T0233,2026-06-15,1,12,45.0,2,1,6.0,Efectivo
T0234,2026-06-15,1,13,40.1,4,1,6.0,Yape
T0235,2026-06-15,1,14,25.2,3,0,41.0,Efectivo
T0236,2026-06-15,1,14,34.6,2,0,33.0,Efectivo
T0237,2026-06-15,1,16,9.3,2,0,24.0,Efectivo
T0238,2026-06-15,1,16,15.8,1,0,27.0,Efectivo
T0239,2026-06-15,1,18,6.3,2,0,15.0,Efectivo
T0240,2026-06-15,1,19,70.8,9,0,102.0,Tarjeta
T0241,2026-06-16,2,7,12.9,2,0,15.0,Tarjeta
T0242,2026-06-16,2,8,16.3,3,1,3.0,Efectivo
T0243,2026-06-16,2,8,18.5,2,1,5.0,Efectivo
T0244,2026-06-16,2,8,18.1,1,0,,Yape
T0245,2026-06-16,2,8,15.9,1,1,6.0,Efectivo
T0246,2026-06-16,2,8,17.6,1,0,28.0,Tarjeta
T0247,2026-06-16,2,9,9.5,3,0,26.0,Yape
T0248,2026-06-16,2,9,10.0,1,0,27.0,Efectivo
T0249,2026-06-16,2,12,29.1,3,0,37.0,Yape
T0250,2026-06-16,2,12,38.4,4,0,47.0,Plin
T0251,2026-06-16,2,13,25.9,3,1,4.0,Plin
T0252,2026-06-16,2,13,40.5,2,1,2.0,Plin
T0253,2026-06-16,2,13,31.3,2,0,51.0,Efectivo
T0254,2026-06-16,2,13,40.6,2,0,43.0,Plin
T0255,2026-06-16,2,13,33.1,3,0,32.0,Efectivo
T0256,2026-06-16,2,13,27.8,4,0,51.0,Efectivo
T0257,2026-06-16,2,13,35.0,4,0,51.0,Plin
T0258,2026-06-16,2,14,42.8,3,0,29.0,Efectivo
T0259,2026-06-16,2,15,10.2,1,1,5.0,Yape
T0260,2026-06-16,2,15,12.2,2,0,17.0,Yape
T0261,2026-06-16,2,16,5.7,2,0,9.0,Yape
T0262,2026-06-16,2,16,10.9,2,1,4.0,Yape
T0263,2026-06-16,2,16,11.0,2,1,6.0,Plin
T0264,2026-06-16,2,17,7.3,2,0,26.0,Efectivo
T0265,2026-06-16,2,18,8.1,2,0,18.0,Yape
T0266,2026-06-17,3,7,15.9,2,0,20.0,Efectivo
T0267,2026-06-17,3,8,12.8,1,0,18.0,Efectivo
T0268,2026-06-17,3,8,22.3,2,1,6.0,Efectivo
T0269,2026-06-17,3,8,18.5,1,1,4.0,Efectivo
T0270,2026-06-17,3,9,16.5,3,0,24.0,Efectivo
T0271,2026-06-17,3,9,12.9,1,1,4.0,Plin
T0272,2026-06-17,3,10,21.9,3,0,18.0,Efectivo
T0273,2026-06-17,3,12,41.1,4,1,8.0,Efectivo
T0274,2026-06-17,3,12,39.6,3,1,-20.0,Efectivo
T0275,2026-06-17,3,13,41.1,4,0,34.0,Tarjeta
T0276,2026-06-17,3,14,31.5,2,1,5.0,Plin
T0277,2026-06-17,3,15,6.1,1,1,5.0,Efectivo
T0278,2026-06-17,3,16,14.6,1,1,3.0,Yape
T0279,2026-06-17,3,16,15.6,1,0,32.0,Yape
T0280,2026-06-17,3,16,9.7,2,0,15.0,
T0281,2026-06-17,3,16,14.8,1,0,41.0,Yape
T0282,2026-06-17,3,16,15.4,1,0,43.0,Efectivo
T0283,2026-06-17,3,18,11.6,1,0,27.0,Plin
T0284,2026-06-17,3,18,13.2,2,0,26.0,Plin
T0285,2026-06-18,4,7,10.3,2,0,11.0,Efectivo
T0285,2026-06-18,4,7,10.3,2,0,11.0,Efectivo
T0286,2026-06-18,4,8,17.4,3,1,4.0,Efectivo
T0287,2026-06-18,4,13,29.6,4,0,50.0,Tarjeta
T0288,2026-06-18,4,13,29.8,2,0,32.0,Efectivo
T0289,2026-06-18,4,13,38.8,2,0,28.0,Yape
T0290,2026-06-18,4,13,35.4,2,0,39.0,Efectivo
T0291,2026-06-18,4,13,39.0,2,0,37.0,Efectivo
T0292,2026-06-18,4,15,5.0,2,0,35.0,Efectivo
T0293,2026-06-18,4,15,12.6,3,0,,Efectivo
T0294,2026-06-18,4,16,11.9,2,0,39.0,Efectivo
T0295,2026-06-18,4,17,62.6,1,1,4.0,Tarjeta
T0296,2026-06-18,4,17,13.9,2,0,21.0,Yape
T0297,2026-06-19,5,8,16.4,1,1,7.0,Yape
T0298,2026-06-19,5,9,16.8,3,0,32.0,Yape
T0299,2026-06-19,5,10,17.3,1,0,21.0,Efectivo
T0300,2026-06-19,5,12,23.7,4,0,43.0,Plin
T0301,2026-06-19,5,12,42.5,2,0,39.0,Tarjeta
T0302,2026-06-19,5,12,45.4,4,0,27.0,Efectivo
T0303,2026-06-19,5,13,34.8,3,1,5.0,Efectivo
T0304,2026-06-19,5,13,41.5,4,0,46.0,Yape
T0305,2026-06-19,5,14,27.2,2,0,,Yape
T0306,2026-06-19,5,14,27.4,3,0,51.0,Yape
T0307,2026-06-19,5,14,36.7,2,0,44.0,Efectivo
T0308,2026-06-19,5,17,15.2,1,0,29.0,Efectivo
T0309,2026-06-19,5,17,14.8,1,0,22.0,Plin
T0310,2026-06-19,5,18,10.7,1,0,18.0,Efectivo
T0311,2026-06-19,5,19,66.8,4,0,87.0,Tarjeta
T0312,2026-06-19,5,20,102.6,5,0,52.0,Tarjeta
T0313,2026-06-19,5,20,112.0,8,0,52.0,Plin
T0314,2026-06-19,5,20,50.1,6,1,13.0,Yape
T0315,2026-06-19,5,21,92.5,6,0,76.0,Efectivo
T0316,2026-06-19,5,21,101.3,7,0,58.0,Plin
T0317,2026-06-19,5,22,63.1,8,0,66.0,Tarjeta
T0318,2026-06-19,5,22,102.4,6,0,,Tarjeta
T0319,2026-06-20,6,15,14.9,2,0,48.0,Efectivo
T0320,2026-06-20,6,17,11.2,2,0,17.0,Efectivo
T0321,2026-06-20,6,17,12.2,1,1,5.0,Yape
T0322,2026-06-20,6,18,8.5,1,0,24.0,Plin
T0323,2026-06-20,6,19,93.5,4,0,77.0,Efectivo
T0324,2026-06-20,6,19,74.3,5,0,76.0,Efectivo
T0325,2026-06-20,6,19,83.2,4,0,81.0,Tarjeta
T0326,2026-06-20,6,19,114.1,8,0,49.0,Tarjeta
T0327,2026-06-20,6,20,106.3,8,0,86.0,Plin
T0328,2026-06-20,6,20,83.6,4,0,67.0,Plin
T0329,2026-06-20,6,20,116.0,4,0,77.0,Efectivo
T0330,2026-06-20,6,21,84.7,6,0,79.0,Efectivo
T0331,2026-06-20,6,21,70.7,5,0,57.0,Yape
T0332,2026-06-20,6,21,63.7,6,0,54.0,Efectivo
T0333,2026-06-20,6,21,81.5,4,0,69.0,Yape
T0334,2026-06-21,7,7,9.3,7,0,61.0,Tarjeta
T0335,2026-06-21,7,9,16.0,1,0,24.0,Yape
T0336,2026-06-21,7,10,15.9,1,1,6.0,
T0337,2026-06-21,7,15,11.2,1,0,30.0,Yape
T0338,2026-06-21,7,16,7.6,1,0,27.0,Yape
T0339,2026-06-21,7,16,8.9,2,0,15.0,Yape
T0340,2026-06-21,7,16,17.7,1,0,30.0,Yape
T0341,2026-06-21,7,16,10.7,2,0,18.0,Yape
T0342,2026-06-21,7,17,14.1,1,1,4.0,Yape
T0343,2026-06-21,7,19,95.1,5,0,91.0,Yape
T0344,2026-06-21,7,21,125.4,7,0,75.0,Tarjeta
T0345,2026-06-22,1,7,20.0,3,0,32.0,Efectivo
T0346,2026-06-22,1,7,23.1,1,1,6.0,Yape
T0347,2026-06-22,1,8,18.7,1,0,23.0,Efectivo
T0348,2026-06-22,1,8,18.9,0,0,23.0,Yape
T0349,2026-06-22,1,9,17.3,3,1,3.0,Plin
T0350,2026-06-22,1,12,35.8,3,1,8.0,Yape
T0351,2026-06-22,1,12,41.0,4,0,52.0,Plin
T0352,2026-06-22,1,13,24.3,3,1,8.0,Yape
T0353,2026-06-22,1,13,37.0,4,0,30.0,Yape
T0354,2026-06-22,1,14,39.1,4,1,11.0,Efectivo
T0355,2026-06-22,1,14,34.1,3,0,47.0,Efectivo
T0356,2026-06-22,1,14,24.5,3,0,43.0,Plin
T0357,2026-06-22,1,16,11.3,2,0,27.0,Efectivo
T0358,2026-06-22,1,16,11.2,1,0,32.0,Efectivo
T0359,2026-06-22,1,17,8.6,2,1,3.0,Tarjeta
T0360,2026-06-22,1,20,107.2,7,0,73.0,Tarjeta
T0361,2026-06-23,2,7,13.2,3,0,14.0,Efectivo
T0362,2026-06-23,2,8,17.8,1,0,21.0,Efectivo
T0363,2026-06-23,2,8,18.7,3,1,2.0,Efectivo
T0364,2026-06-23,2,8,13.0,3,1,5.0,Tarjeta
T0364,2026-06-23,2,8,13.0,3,1,5.0,Tarjeta
T0365,2026-06-23,2,8,12.6,3,0,16.0,Yape
T0366,2026-06-23,2,8,8.0,2,0,37.0,Efectivo
T0367,2026-06-23,2,10,14.2,1,0,21.0,Efectivo
T0368,2026-06-23,2,10,17.0,1,1,5.0,Tarjeta
T0369,2026-06-23,2,12,29.0,3,0,42.0,Yape
T0370,2026-06-23,2,12,32.9,3,0,49.0,Yape
T0371,2026-06-23,2,13,36.2,4,0,44.0,Efectivo
T0372,2026-06-23,2,13,41.6,4,1,4.0,Efectivo
T0373,2026-06-23,2,14,46.8,3,0,27.0,Plin
T0374,2026-06-23,2,14,33.8,3,1,7.0,Plin
T0375,2026-06-23,2,14,20.6,3,1,3.0,Tarjeta
T0376,2026-06-23,2,14,21.7,3,0,30.0,Efectivo
T0377,2026-06-23,2,15,9.0,1,0,20.0,Efectivo
T0378,2026-06-23,2,17,12.5,2,1,5.0,Yape
T0379,2026-06-23,2,17,7.0,2,1,5.0,Yape
T0380,2026-06-23,2,17,6.6,1,0,21.0,Efectivo
T0381,2026-06-23,2,17,13.2,1,0,41.0,Efectivo
T0382,2026-06-23,2,20,51.0,5,0,82.0,Efectivo
T0383,2026-06-24,3,8,14.4,3,1,3.0,Tarjeta
T0384,2026-06-24,3,8,18.2,1,1,4.0,Plin
T0385,2026-06-24,3,9,15.4,3,0,28.0,Tarjeta
T0386,2026-06-24,3,9,19.0,1,0,26.0,Efectivo
T0387,2026-06-24,3,9,18.4,3,1,4.0,Efectivo
T0388,2026-06-24,3,10,26.2,3,1,5.0,Efectivo
T0389,2026-06-24,3,13,32.2,3,0,43.0,Efectivo
T0390,2026-06-24,3,13,41.4,3,0,26.0,Efectivo
T0391,2026-06-24,3,13,41.9,4,0,47.0,Yape
T0392,2026-06-24,3,15,12.7,2,0,35.0,Yape
T0393,2026-06-24,3,16,11.9,2,0,34.0,Efectivo
T0394,2026-06-24,3,17,11.1,1,0,44.0,Yape
T0395,2026-06-24,3,17,6.3,2,0,34.0,Yape
T0396,2026-06-24,3,18,8.6,1,0,13.0,Tarjeta
T0397,2026-06-24,3,18,13.9,2,0,20.0,Efectivo
T0398,2026-06-24,3,21,8.5,3,0,28.0,Efectivo
T0399,2026-06-25,4,7,11.2,3,0,28.0,Yape
T0400,2026-06-25,4,7,18.1,1,0,29.0,Efectivo
T0401,2026-06-25,4,8,13.9,2,0,,Efectivo
T0402,2026-06-25,4,8,16.7,2,0,16.0,Tarjeta
T0403,2026-06-25,4,16,14.9,2,0,18.0,Yape
T0404,2026-06-25,4,16,15.5,1,1,2.0,Plin
T0405,2026-06-25,4,16,10.4,2,0,33.0,Efectivo
T0406,2026-06-25,4,17,5.2,2,0,36.0,Efectivo
T0407,2026-06-25,4,17,11.5,2,0,18.0,Yape
T0408,2026-06-25,4,20,106.7,6,0,78.0,Plin
T0409,2026-06-26,5,7,14.4,2,1,2.0,Tarjeta
T0410,2026-06-26,5,9,15.2,3,1,6.0,Efectivo
T0410,2026-06-26,5,9,15.2,3,1,6.0,Efectivo
T0411,2026-06-26,5,9,16.7,3,0,31.0,Efectivo
T0412,2026-06-26,5,10,16.4,3,0,25.0,Efectivo
T0413,2026-06-26,5,10,14.4,2,0,,Yape
T0414,2026-06-26,5,12,37.6,2,1,2.0,Efectivo
T0415,2026-06-26,5,13,29.9,3,0,46.0,Plin
T0416,2026-06-26,5,13,25.0,3,0,37.0,Efectivo
T0417,2026-06-26,5,13,46.2,2,0,29.0,Efectivo
T0418,2026-06-26,5,14,31.4,2,0,42.0,Efectivo
T0419,2026-06-26,5,15,7.7,2,0,23.0,Yape
T0420,2026-06-26,5,15,10.7,1,0,28.0,Efectivo
T0421,2026-06-26,5,15,8.8,2,1,,Efectivo
T0422,2026-06-26,5,16,7.1,2,0,21.0,Efectivo
